[sound:ebird2anki-eursta-543795.mp3];🎵;Common Starling;Sturnus vulgaris;<img src="ebird2anki-eursta-303929291.jpg">
[sound:ebird2anki-eurcoo-553396.mp3];🎵;Eurasian Coot;Fulica atra;<img src="ebird2anki-eurcoo-44601591.jpg">
[sound:ebird2anki-easros1-537986.mp3];🎵;Eastern Rosella;Platycercus eximius;<img src="ebird2anki-easros1-117500701.jpg">
[sound:ebird2anki-eurcoo-553393.mp3];🎵;Eurasian Coot;Fulica atra;<img src="ebird2anki-eurcoo-44601581.jpg">
[sound:ebird2anki-easros1-537989.mp3];🎵;Eastern Rosella;Platycercus eximius;<img src="ebird2anki-easros1-117500751.jpg">
[sound:ebird2anki-dusmoo1-538468.mp3];🎵;Dusky Moorhen;Gallinula tenebrosa;<img src="ebird2anki-dusmoo1-122302361.jpg">
[sound:ebird2anki-gryfan1-539159.mp3];🎵;Grey Fantail;Rhipidura albiscapa;<img src="ebird2anki-gryfan1-125802131.jpg">
[sound:ebird2anki-grybut1-539030.mp3];🎵;Grey Butcherbird;Cracticus torquatus;<img src="ebird2anki-grybut1-125700951.jpg">
[sound:ebird2anki-eursta-543796.mp3];🎵;Common Starling;Sturnus vulgaris;<img src="ebird2anki-eursta-303929801.jpg">
<img src="ebird2anki-eursta-67455011.jpg">;;Common Starling;Sturnus vulgaris;[sound:ebird2anki-eursta-550263.mp3]
[sound:ebird2anki-eurbla-527798.mp3];🎵;Common Blackbird;Turdus merula;<img src="ebird2anki-eurbla-44584671.jpg">
<img src="ebird2anki-eursta-303929531.jpg">;;Common Starling;Sturnus vulgaris;[sound:ebird2anki-eursta-543796.mp3]
[sound:ebird2anki-grybut1-539028.mp3];🎵;Grey Butcherbird;Cracticus torquatus;<img src="ebird2anki-grybut1-125701001.jpg">
[sound:ebird2anki-gryfan1-539157.mp3];🎵;Grey Fantail;Rhipidura albiscapa;<img src="ebird2anki-gryfan1-125802171.jpg">
<img src="ebird2anki-grybut1-125701001.jpg">;;Grey Butcherbird;Cracticus torquatus;[sound:ebird2anki-grybut1-539029.mp3]
<img src="ebird2anki-galah-122706101.jpg">;;Galah;Eolophus roseicapilla;[sound:ebird2anki-galah-538600.mp3]
<img src="ebird2anki-gryfan1-125802131.jpg">;;Grey Fantail;Rhipidura albiscapa;[sound:ebird2anki-gryfan1-539150.mp3]
[sound:ebird2anki-eurbla-527799.mp3];🎵;Common Blackbird;Turdus merula;<img src="ebird2anki-eurbla-44584691.jpg">
[sound:ebird2anki-houspa-550465.mp3];🎵;House Sparrow;Passer domesticus;<img src="ebird2anki-houspa-305877201.jpg">
[sound:ebird2anki-eursta-543798.mp3];🎵;Common Starling;Sturnus vulgaris;<img src="ebird2anki-eursta-67454971.jpg">
<img src="ebird2anki-eurbla-44584691.jpg">;;Common Blackbird;Turdus merula;[sound:ebird2anki-eurbla-539285.mp3]
<img src="ebird2anki-easros1-117500741.jpg">;;Eastern Rosella;Platycercus eximius;[sound:ebird2anki-easros1-537989.mp3]
<img src="ebird2anki-grybut1-125700951.jpg">;;Grey Butcherbird;Cracticus torquatus;[sound:ebird2anki-grybut1-539026.mp3]
<img src="ebird2anki-easros1-117500721.jpg">;;Eastern Rosella;Platycercus eximius;[sound:ebird2anki-easros1-537988.mp3]
[sound:ebird2anki-ausmag2-538121.mp3];🎵;Australian Magpie;Gymnorhina tibicen;<img src="ebird2anki-ausmag2-117501211.jpg">
<img src="ebird2anki-grybut1-125700941.jpg">;;Grey Butcherbird;Cracticus torquatus;[sound:ebird2anki-grybut1-539027.mp3]
<img src="ebird2anki-eurcoo-44601591.jpg">;;Eurasian Coot;Fulica atra;[sound:ebird2anki-eurcoo-553392.mp3]
[sound:ebird2anki-houspa-550466.mp3];🎵;House Sparrow;Passer domesticus;<img src="ebird2anki-houspa-305874191.jpg">
[sound:ebird2anki-eurbla-539286.mp3];🎵;Common Blackbird;Turdus merula;<img src="ebird2anki-eurbla-44584681.jpg">
<img src="ebird2anki-easros1-117500701.jpg">;;Eastern Rosella;Platycercus eximius;[sound:ebird2anki-easros1-537987.mp3]
<img src="ebird2anki-eurcoo-44601571.jpg">;;Eurasian Coot;Fulica atra;[sound:ebird2anki-eurcoo-553393.mp3]
[sound:ebird2anki-easros1-537988.mp3];🎵;Eastern Rosella;Platycercus eximius;<img src="ebird2anki-easros1-117500741.jpg">
<img src="ebird2anki-houspa-305874191.jpg">;;House Sparrow;Passer domesticus;[sound:ebird2anki-houspa-550467.mp3]
<img src="ebird2anki-easros1-117500751.jpg">;;Eastern Rosella;Platycercus eximius;[sound:ebird2anki-easros1-537986.mp3]
[sound:ebird2anki-eurgol-527859.mp3];🎵;European Goldfinch;Carduelis carduelis;<img src="ebird2anki-eurgol-256706691.jpg">
