tags:bird-audio
[sound:noisy_miner_1.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418601.jpg">
[sound:noisy_miner_10.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418611.jpg">
[sound:noisy_miner_11.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418621.jpg">
[sound:noisy_miner_12.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418631.jpg">
[sound:noisy_miner_13.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418641.jpg">
[sound:noisy_miner_14.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418651.jpg">
[sound:noisy_miner_15.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418601.jpg">
[sound:noisy_miner_16.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418611.jpg">
[sound:noisy_miner_17.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418621.jpg">
[sound:noisy_miner_18.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418631.jpg">
[sound:noisy_miner_19.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418641.jpg">
[sound:noisy_miner_2.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418651.jpg">
[sound:noisy_miner_20.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418601.jpg">
[sound:noisy_miner_21.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418611.jpg">
[sound:noisy_miner_22.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418621.jpg">
[sound:noisy_miner_23.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418631.jpg">
[sound:noisy_miner_24.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418641.jpg">
[sound:noisy_miner_25.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418651.jpg">
[sound:noisy_miner_26.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418601.jpg">
[sound:noisy_miner_27.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418611.jpg">
[sound:noisy_miner_28.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418621.jpg">
[sound:noisy_miner_29.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418631.jpg">
[sound:noisy_miner_3.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418641.jpg">
[sound:noisy_miner_30.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418651.jpg">
[sound:noisy_miner_31.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418601.jpg">
[sound:noisy_miner_32.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418611.jpg">
[sound:noisy_miner_33.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418621.jpg">
[sound:noisy_miner_34.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418631.jpg">
[sound:noisy_miner_35.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418641.jpg">
[sound:noisy_miner_36.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418651.jpg">
[sound:noisy_miner_37.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418601.jpg">
[sound:noisy_miner_38.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418611.jpg">
[sound:noisy_miner_39.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418621.jpg">
[sound:noisy_miner_4.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418631.jpg">
[sound:noisy_miner_40.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418641.jpg">
[sound:noisy_miner_41.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418651.jpg">
[sound:noisy_miner_42.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418601.jpg">
[sound:noisy_miner_43.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418611.jpg">
[sound:noisy_miner_44.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418621.jpg">
[sound:noisy_miner_45.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418631.jpg">
[sound:noisy_miner_46.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418641.jpg">
[sound:noisy_miner_47.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418651.jpg">
[sound:noisy_miner_48.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418601.jpg">
[sound:noisy_miner_49.mp3];Noisy Miner;Manorina melanocephala;<img src="ebird2anki-noimin1-124418611.jpg">
